Membership No  Date Joined  Active  
    38343      2019-9-25    no    
    12970      2016-3-24    no    
    50458      2020-8-19    no    
    43552      2019-9-22    no    
    95016      2020-8-18    no    
    96956      2016-7-1     no    
    66245      2018-1-12    no    
    67643      2015-5-6     no    
    77231      2019-5-7     no    
    36202      2019-1-21    no    
    87913      2017-3-4     no    
    17266      2016-8-8     no    
    50026      2018-5-21    no    
    20807      2016-8-21    no    
    65363      2020-10-21   no    
