Membership No  Date Joined  Active  
    77677      2017-2-3     no    
    89348      2018-9-18    no    
    35730      2019-8-15    no    
    47562      2019-12-12   no    
    85875      2020-7-12    no    
    40891      2017-8-12    no    
    74788      2020-11-8    no    
    78285      2015-6-8     no    
    81019      2020-9-4     no    
    69409      2015-2-3     no    
    84500      2020-8-8     no    
    52531      2019-9-2     no    
    40080      2015-1-17    no    
    22034      2019-2-22    no    
    42463      2017-7-10    no    
    52999      2018-2-14    no    
    89979      2020-12-9    no    
